,Acne,Actinic_Keratosis,Benign_tumors,Bullous,Candidiasis,DrugEruption,Eczema,Infestations_Bites,Lichen,Lupus,Moles,Psoriasis,Rosacea,Seborrh_Keratoses,SkinCancer,Sun_Sunlight_Damage,Tinea,Unknown_Normal,Vascular_Tumors,Vasculitis,Vitiligo,Warts
Acne,40,1,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,2
Actinic_Keratosis,6,35,1,3,0,9,0,0,1,3,0,0,13,2,4,0,2,0,1,0,1,2
Benign_tumors,3,2,25,1,5,2,1,9,2,6,10,0,2,3,21,2,2,0,17,2,0,6
Bullous,0,1,0,29,1,6,1,3,0,1,0,1,0,1,0,1,4,0,3,0,0,3
Candidiasis,0,0,0,0,19,0,0,1,2,0,0,0,1,0,0,0,3,0,1,0,0,0
DrugEruption,0,1,0,4,0,36,2,5,1,3,0,0,1,1,0,1,0,0,1,2,3,0
Eczema,6,1,2,0,2,1,59,3,2,0,1,6,2,1,1,3,4,0,9,4,0,5
Infestations_Bites,1,1,1,1,2,6,5,20,1,4,1,2,0,1,0,1,8,0,3,2,0,0
Lichen,0,3,2,0,6,4,3,3,22,4,2,2,0,0,0,3,3,1,1,1,0,1
Lupus,4,2,0,0,0,1,1,3,3,8,0,1,5,0,0,3,2,0,0,1,0,0
Moles,0,0,7,0,1,0,0,0,0,1,21,1,0,1,2,3,0,0,2,0,0,1
Psoriasis,0,1,1,1,5,2,18,4,0,2,1,35,0,0,0,0,3,0,3,9,0,3
Rosacea,2,2,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0
Seborrh_Keratoses,1,1,1,0,1,0,1,0,1,0,4,0,0,28,7,2,0,0,2,1,0,1
SkinCancer,1,1,6,0,4,1,3,4,0,0,4,2,2,1,37,4,0,0,5,1,0,1
Sun_Sunlight_Damage,0,1,2,0,0,0,1,0,0,0,4,0,5,0,0,15,1,0,1,4,0,0
Tinea,6,0,4,0,14,1,11,6,2,0,1,4,3,1,3,7,33,0,1,4,0,1
Unknown_Normal,1,1,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,169,0,0,12,0
Vascular_Tumors,1,1,5,2,2,1,3,4,0,1,1,1,2,0,5,2,2,0,25,1,0,1
Vasculitis,1,0,0,1,1,1,4,4,1,0,0,0,0,1,3,1,0,0,5,28,0,1
Vitiligo,1,0,0,1,0,3,0,0,0,3,0,0,1,0,0,1,1,3,0,2,64,2
Warts,1,0,4,1,3,0,3,0,1,1,2,1,3,2,3,0,0,0,5,1,0,33
