Class,Precision,Recall,F1_Score,Support
Acne,53.333333333333336,80.0,64.0,50
Actinic_Keratosis,63.63636363636363,42.168674698795186,50.72463768115942,83
Benign_tumors,40.32258064516129,20.66115702479339,27.322404371584703,121
Bullous,65.9090909090909,52.72727272727272,58.58585858585859,55
Candidiasis,28.78787878787879,70.37037037037037,40.86021505376344,27
DrugEruption,46.75324675324675,59.01639344262295,52.17391304347826,61
Eczema,50.427350427350426,52.67857142857143,51.52838427947598,112
Infestations_Bites,28.57142857142857,33.33333333333333,30.76923076923077,60
Lichen,56.41025641025641,36.0655737704918,44.0,61
Lupus,20.0,23.52941176470588,21.62162162162162,34
Moles,40.38461538461539,52.5,45.65217391304348,40
Psoriasis,61.40350877192983,39.77272727272727,48.275862068965516,88
Rosacea,34.375,78.57142857142857,47.82608695652174,28
Seborrh_Keratoses,65.11627906976744,54.90196078431373,59.57446808510638,51
SkinCancer,43.02325581395349,48.05194805194805,45.39877300613497,77
Sun_Sunlight_Damage,29.411764705882355,44.11764705882353,35.294117647058826,34
Tinea,48.529411764705884,32.35294117647059,38.82352941176471,102
Unknown_Normal,97.6878612716763,89.41798941798942,93.37016574585635,189
Vascular_Tumors,29.069767441860467,41.66666666666667,34.24657534246575,60
Vasculitis,44.44444444444444,53.84615384615385,48.69565217391305,52
Vitiligo,80.0,78.04878048780488,79.01234567901234,82
Warts,52.38095238095239,51.5625,51.96850393700787,64
